2024-03-20 00:56:17 200 GET /signup HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 - 0:0:0:0:0:0:0:1 3619 321766
2024-03-20 00:56:17 200 GET /sign_up/sign_up.js HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/signup 0:0:0:0:0:0:0:1 4400 16881
2024-03-20 00:56:17 200 GET /sign_up/sign_up.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/signup 0:0:0:0:0:0:0:1 1380 18002
2024-03-20 00:56:18 500 GET /favicon.ico HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/signup 0:0:0:0:0:0:0:1 5434 63713
2024-03-20 00:56:41 500 POST /signup HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/signup 0:0:0:0:0:0:0:1 10949 361807
2024-03-20 00:56:59 200 GET /sign_up/sign_up.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/signup 0:0:0:0:0:0:0:1 1380 3315
2024-03-20 00:57:02 500 POST /signup HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/signup 0:0:0:0:0:0:0:1 10949 137222
2024-03-20 00:58:01 500 POST /signup HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/signup 0:0:0:0:0:0:0:1 10949 241068
2024-03-20 00:59:23 500 POST /signup HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/signup 0:0:0:0:0:0:0:1 10949 174069
2024-03-20 00:59:23 500 POST /signup HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/signup 0:0:0:0:0:0:0:1 10949 79118
2024-03-20 01:03:20 200 GET /signup HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 - 0:0:0:0:0:0:0:1 3619 310530
2024-03-20 01:03:20 200 GET /sign_up/sign_up.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/signup 0:0:0:0:0:0:0:1 1380 14903
2024-03-20 01:03:20 200 GET /sign_up/sign_up.js HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/signup 0:0:0:0:0:0:0:1 4400 14680
2024-03-20 01:03:21 500 GET /favicon.ico HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/signup 0:0:0:0:0:0:0:1 5434 96984
2024-03-20 01:03:43 500 POST /signup HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/signup 0:0:0:0:0:0:0:1 10939 372801
2024-03-20 01:12:43 200 GET /signup HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 - 0:0:0:0:0:0:0:1 3709 320825
2024-03-20 01:12:44 200 GET /sign_up/sign_up.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/signup 0:0:0:0:0:0:0:1 1380 15550
2024-03-20 01:12:44 200 GET /sign_up/sign_up.js HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/signup 0:0:0:0:0:0:0:1 4496 15911
2024-03-20 01:13:04 200 POST /signup HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/signup 0:0:0:0:0:0:0:1 14 368022
