2024-03-21 09:07:15 200 GET /login HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 - 0:0:0:0:0:0:0:1 1462 356196
2024-03-21 09:07:15 200 GET /login_form/login_form.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/login 0:0:0:0:0:0:0:1 1407 16118
2024-03-21 09:07:15 200 GET /login_form/login_from.js HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/login 0:0:0:0:0:0:0:1 280 16482
2024-03-21 09:07:16 404 GET /favicon.ico HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/login 0:0:0:0:0:0:0:1 4360 61970
2024-03-21 09:07:22 302 POST /login HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/login 0:0:0:0:0:0:0:1 - 173416
2024-03-21 09:07:22 500 GET /mypage/1 HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/login 0:0:0:0:0:0:0:1 8111 57169
2024-03-21 09:10:21 500 GET /mypage/1 HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/login 0:0:0:0:0:0:0:1 8111 35945
2024-03-21 09:10:23 500 GET /mypage/1 HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/login 0:0:0:0:0:0:0:1 8111 33602
2024-03-21 09:11:44 200 GET /login HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 - 0:0:0:0:0:0:0:1 1462 281994
2024-03-21 09:11:44 200 GET /login_form/login_form.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/login 0:0:0:0:0:0:0:1 1407 12452
2024-03-21 09:11:44 200 GET /login_form/login_from.js HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/login 0:0:0:0:0:0:0:1 280 12725
